company,source_type,source_name,publish_date,risk_label,trigger_terms,clean_text
Meta,news,MSN,2025-12-21 22:51:14,2,layoff,meta layoffs facebook whatsapp instagram parent company to start laying off employees today msn
Meta,news,Fortune,2025-12-05 08:00:00,2,layoff,meta may unwind metaverse initiatives with layoffs fortune
Meta,news,VT Markets,2025-10-24 07:00:00,2,layoff,meta ai layoffs and market impact vt markets
Meta,news,Forbes,2025-10-27 07:00:00,2,layoff,meta layoffs and the cost of a frictionless ai future forbes
Meta,news,FOX 13 Seattle,2025-10-28 07:00:00,2,layoff,meta layoffs to hit seattle bellevue and redmond fox seattle
Meta,news,The HR Digest,2025-12-05 08:00:00,2,layoff,do meta s metaverse budget cuts signal incoming layoffs the hr digest
Meta,news,Business Insider,2025-12-16 17:45:00,2,layoff,the layoffs list of verizon meta amazon and more business insider
Meta,news,The New York Times,2025-10-23 07:00:00,2,layoff,meta layoffs included employees who monitored risks to user privacy the new york times
Meta,news,The HR Digest,2025-10-24 07:00:00,2,layoff,from rapid hiring straight to firing meta s layoffs leave employees confused the hr digest
Meta,news,CNBC,2025-10-22 07:00:00,2,layoff,meta ai layoffs latest signal tech s hottest career path may end with more risk than riches cnbc
Meta,news,VOI.id,2025-02-10 08:00:00,2,layoff,meta starts layoffs of thousands of employees in dozens of countries asia including voi id
Meta,news,NDTV,2025-12-04 08:00:00,2,layoff,mark zuckerberg plans budget cuts to build metaverse layoffs loom ndtv
Meta,news,TechCrunch,2025-12-12 08:00:00,2,layoff,a comprehensive list of tech layoffs techcrunch
Meta,news,The Economic Times,2025-12-04 08:00:00,2,layoff,meta to slash metaverse budget by potential layoffs loom report the economic times
Meta,news,The American Bazaar,2025-10-29 07:00:00,2,layoff,meta announces more layoffs names vishal shah to key ai leadership role the american bazaar
Meta,news,Business Post,2025-12-20 21:10:41,2,"layoff,strike",hundreds of meta ai contractors vote to strike over layoffs at cpl owned covalen business post
Meta,news,GeekWire,2025-10-27 07:00:00,2,layoff,filing meta s ai layoffs hit washington offices in bellevue seattle redmond geekwire
Meta,news,MSN,2025-12-20 19:19:41,2,layoff,meta s layoffs spark backlash employees reject performance based claims cruelest company zuck doesn t care about msn
Meta,news,ABC7 San Francisco,2025-10-22 07:00:00,2,layoff,meta layoffs company cutting ai jobs even as it continues to hire more for its superintelligence lab abc san francisco
Meta,news,36Kr,2025-11-02 07:00:00,2,"layoff,restructuring",meta layoffs openai restructuring a word analysis on how google s ai epic is rewritten by heroes kr
Meta,news,Ragan Communications,2025-11-21 08:00:00,2,layoff,verizon layoff memo emphasizes upskilling meta tells workers they re being judged on ai use ragan communications
Meta,news,The Economic Times,2025-10-27 07:00:00,2,layoff,meta layoffs here s the email it sent to its employees it just sacked the economic times
Meta,news,SFGATE,2025-10-28 07:00:00,2,layoff,meta layoff includes workers around bay area headquarters sfgate
Meta,news,seattlered.com,2025-10-28 07:00:00,2,layoff,meta s ai layoffs hit seattle seattlered com
Meta,news,Fortune,2025-07-16 07:00:00,2,layoff,tech layoffs how microsoft google and meta are plotting for the ai era fortune
Meta,news,CNBC,2025-12-04 08:00:00,2,job cuts,meta is rebounding on report of job cuts why stephanie link is adding to her position cnbc
Meta,news,KRON4,2025-10-28 07:00:00,2,layoff,meta cutting over bay area jobs in latest layoffs kron
Meta,news,Newsweek,2025-10-22 07:00:00,2,"layoff,mass layoff",meta announces mass layoffs newsweek
Meta,news,Business Insider,2025-05-19 07:00:00,2,layoff,i helped guide meta layoffs then i got laid off too business insider
Meta,news,Business Insider,2025-07-25 07:00:00,2,layoff,my advice for leading through layoffs and chaos as a former meta and airbnb manager business insider
Meta,news,peoplematters.in,2025-11-10 08:00:00,2,layoff,after layoffs in ai unit meta turns to chatbot for staff evaluations peoplematters in
Meta,news,Zee News,2025-12-22 10:27:46,2,"job cuts,layoff",tech layoffs in cross mark from microsoft to amazon check list of biggest tech companies that cited ai in job cuts zee news
Meta,news,The Economic Times,2025-11-02 07:00:00,2,job cuts,over job cuts rattle tech industry in amazon meta google intel lay off thousands of empl the economic times
Meta,news,San Francisco Chronicle,2025-10-28 07:00:00,2,layoff,meta confirms bay area layoffs affecting more than workers in menlo park san francisco chronicle
Meta,news,livemint.com,2025-10-23 07:00:00,2,layoff,meta layoffs indian origin ai startup founder offers jobs to laid off employees this is how much they will earn livemint com
Meta,news,MSN,2025-12-16 19:27:46,2,layoff,meta layoffs facebook parent to cut jobs in major workforce reshuffle what it means for employees msn
Meta,news,Analytics India Magazine,2025-10-24 07:00:00,2,layoff,meta s layoffs are india s big break for ai talent analytics india magazine
Meta,news,livemint.com,2025-12-06 08:00:00,2,layoff,zuckerberg plans budget cuts layoffs at meta to build metaverse livemint com
Meta,news,Business Insider,2025-10-17 07:00:00,2,layoff,microsoft laid her off a layoff support group helped her bounce back and she got a job at meta months later business insider
Meta,news,Times of India,2025-10-24 07:00:00,2,layoff,meta ai layoffs lessons for tech workers and stem students in a fast changing industry times of india
Meta,news,tech.co,2025-02-10 08:00:00,2,layoff,meta layoffs coming today reveals internal memo tech co
Meta,news,RTE.ie,2025-11-28 08:00:00,2,job cuts,fears of job cuts at services firm covalen in dublin rte ie
Meta,news,Fast Company,2025-10-22 07:00:00,2,layoff,meta ai layoffs today jobs are already being cut from alexandr wang s superintelligence lab fast company
Meta,news,The Economic Times,2025-10-23 07:00:00,2,layoff,meta layoffs why facebook parent company is firing employees from its ai team zuckerberg s motive re the economic times
Meta,news,The HR Digest,2025-05-13 07:00:00,2,layoff,zuckerberg s intense year means thousands of meta employees face layoffs the hr digest
Meta,news,Business Insider,2025-07-16 07:00:00,1,restructuring,scale ai just got hit by a major restructuring in the wake of its blockbuster meta deal business insider
Meta,news,Yahoo Finance,2025-10-25 07:00:00,2,layoff,the bull case for meta platforms meta could change following ai layoffs and infrastructure shift yahoo finance
Meta,news,peoplematters.in,2025-05-21 07:00:00,2,layoff,meta prepares for future layoffs by ranking more employees as low performers peoplematters in
Meta,news,TechSpot,2025-10-24 07:00:00,2,layoff,meta openly links fresh layoffs to ai driven automation techspot
Meta,news,Yahoo Finance,2025-10-23 07:00:00,2,job cuts,meta meta stock in red after major job cuts hit artificial intelligence unit yahoo finance
Meta,news,Business Standard,2025-12-04 08:00:00,2,layoff,meta to cut of metaverse budget as layoffs loom in report business standard
Meta,news,MSN,2025-12-05 03:24:55,2,layoff,mark zuckerberg plans budget cuts to build metaverse layoffs loom msn
Meta,news,thestreet.com,2025-05-22 07:00:00,2,layoff,meta quietly plans rude awakening for employees after layoffs thestreet com
Meta,news,CNBC,2025-04-21 07:00:00,2,layoff,i became an ai prompt engineer after a layoff from meta now i m on the cutting edge of the newest tech obsession cnbc
Meta,news,qz.com,2025-10-23 07:00:00,2,layoff,the hidden time bomb in the tax code that s fueling mass tech layoffs qz com
Meta,news,KIRO 7 News Seattle,2025-07-02 07:00:00,2,layoff,despite national layoffs meta ramps up bellevue hiring by about employees kiro news seattle
Meta,news,Yahoo Finance,2025-08-22 07:00:00,1,hiring freeze,meta s hiring freeze is a meta problem not an ai problem yahoo finance
Meta,news,Mashable,2025-08-21 16:45:18,1,hiring freeze,meta implements hiring freeze after splitting up its ai superintelligence team mashable
Meta,news,MarketWatch,2025-08-20 07:00:00,1,restructuring,meta reportedly freezes its ai hiring spree amid wider restructuring marketwatch
Meta,news,peoplematters.in,2025-08-20 07:00:00,1,hiring freeze,meta s ai ambitions hit pause with sudden hiring freeze peoplematters in
Meta,news,NAI500,2025-09-06 07:00:00,1,hiring freeze,meta refutes claims of ai hiring freeze massive investments reveal ai ambitions nai
Meta,news,digitimes,2025-08-21 07:00:00,1,"hiring freeze,restructuring",meta confirms hiring freeze in ai division amid restructuring and prior talent recruitment digitimes
Meta,news,AppleInsider,2025-08-22 07:00:00,1,hiring freeze,another executive departs apple for meta even as a hiring freeze begins appleinsider
Meta,news,Proactive financial news,2025-08-21 07:00:00,1,restructuring,meta freezes ai hiring amid talent surge division restructuring nasdaq meta xetra fb a six fb proactive financial news
Meta,news,Times Now,2025-08-25 07:00:00,1,hiring freeze,meta s ai meltdown hiring freeze talent drain and scrapped projects raise alarms times now
Meta,news,FourWeekMBA,2025-08-23 07:00:00,1,hiring freeze,meta s ai hiring freeze the m reality check fourweekmba
Meta,news,TipRanks,2025-08-24 07:00:00,1,hiring freeze,meta poaches another apple employee despite hiring freeze tipranks
Meta,news,MSN,2025-08-26 12:31:28,1,hiring freeze,meta s ai meltdown hiring freeze talent drain and scrapped projects raise alarms msn
Meta,news,Gadgets 360,2025-08-21 07:00:00,1,restructuring,meta reportedly freezes hiring in ai division amid restructuring of superintelligence labs gadgets
Meta,news,Business Today,2025-08-22 07:00:00,1,hiring freeze,meta poaches another apple ai engineer despite ai hiring freeze business today
Meta,news,Storyboard18,2025-08-21 07:00:00,1,restructuring,meta halts ai hiring amid restructuring of division storyboard
Meta,news,outlookbusiness.com,2025-08-22 07:00:00,1,hiring freeze,meta snags another senior apple ai exec for superintelligence labs as it mulls hiring freeze outlookbusiness com
