doc_id,company,source_type,source_name,publish_date,text,engagement,url,sentiment_score
CBMilAFBVV95cUxQYkFsb0tZVGtULTRQRGlWczF5d2owRWVCYTd0dDViM281RlhOekhPQ0hpb25nSktqdEhVb3dmUUx6cGJVN3hjS2k2MVJuYkVseGpLVk1sUFFwMEZjN2tKNy0xUHA4NUxxSU8yQmZiSlRPRGZ4RWI5LVhIOXRyRWlGMnlpVWVnVl9NOWNVWlRlYURET0tF,Meta,news,Business Insider,2025-12-02 08:00:00,I Got Laid Off From Meta As a 'Low Performer' and Can't Find a New Job - Business Insider,0.0,https://news.google.com/rss/articles/CBMilAFBVV95cUxQYkFsb0tZVGtULTRQRGlWczF5d2owRWVCYTd0dDViM281RlhOekhPQ0hpb25nSktqdEhVb3dmUUx6cGJVN3hjS2k2MVJuYkVseGpLVk1sUFFwMEZjN2tKNy0xUHA4NUxxSU8yQmZiSlRPRGZ4RWI5LVhIOXRyRWlGMnlpVWVnVl9NOWNVWlRlYURET0tF?oc=5,
CBMi9gJBVV95cUxNNkdnWXBuTHdlQnZmdkJ0RmlrbVNiSTUtRkliWlRxUVJYaWFtNmRpekdWdzZ4V3ZMa1BlVG5yN1gzT095QVJBQUhZR0xIc2xRVzI2c2swTHdyMWpLcTVfNjZSV0w2Z3g0TExhNGhPQmxOYkpKT3JneDVkQ0VrTkVMbUNoRlMzcDdjZk5FcGZCR2loRDRlY2dEQWx5MzZBVEhrSmk4LXlsMnQ4RzlhcFZ5QnZVS3M0TTFCdTFRVjdLYWd6TlJvR0s4SmNTQWE4ajU3SURqQUhVQVAzZy1KUGlpZ3hfME01VmpmNjZJT0FVS2REclp1X2lLeWloRXFYTVpiN2FSSmYzb2VobjRzMXlwblBQbjlVdHAycFNIemR6Nlo1YkxuYW9rbllfN0RLSDRQTUVPa2VnUVJKZFlhZnEyZmNqUGhldmxoQkJzMnZJTGlmSHplU294WXgyQ3Vsck9XLTBOQkdLLTU1REt1TTJQUjI1Mmp3QQ,Meta,news,MSN,2025-12-21 22:51:14,"Meta layoffs: Facebook, WhatsApp, Instagram parent company to start laying off employees today - MSN",0.0,https://news.google.com/rss/articles/CBMi9gJBVV95cUxNNkdnWXBuTHdlQnZmdkJ0RmlrbVNiSTUtRkliWlRxUVJYaWFtNmRpekdWdzZ4V3ZMa1BlVG5yN1gzT095QVJBQUhZR0xIc2xRVzI2c2swTHdyMWpLcTVfNjZSV0w2Z3g0TExhNGhPQmxOYkpKT3JneDVkQ0VrTkVMbUNoRlMzcDdjZk5FcGZCR2loRDRlY2dEQWx5MzZBVEhrSmk4LXlsMnQ4RzlhcFZ5QnZVS3M0TTFCdTFRVjdLYWd6TlJvR0s4SmNTQWE4ajU3SURqQUhVQVAzZy1KUGlpZ3hfME01VmpmNjZJT0FVS2REclp1X2lLeWloRXFYTVpiN2FSSmYzb2VobjRzMXlwblBQbjlVdHAycFNIemR6Nlo1YkxuYW9rbllfN0RLSDRQTUVPa2VnUVJKZFlhZnEyZmNqUGhldmxoQkJzMnZJTGlmSHplU294WXgyQ3Vsck9XLTBOQkdLLTU1REt1TTJQUjI1Mmp3QQ?oc=5,
CBMihwJBVV95cUxQSkx5MTZHY1RNMjQyVDNaMzZIdXF4a0c3SHQwa1dweDR3ZF9Ib0FUd2MyX2plMGdYdVdnOUlvM3VwSjl2Njg2UU1BdTlXdGFJSjRRam16bTF6VGozWGJZSmZISDhKaWxkSkoyWlFoZXJUWXVMMjkwN0E4SEpLMzFUeTdNcWtsUzJ5LTVrQ1VkUHhmUVVYRGEza0ZWLTlqNG9YY3dhMFpQVDlIMnlqVTloZVlwZ0RnZFhFMGdQWE9OLW9KeEkxRUtMc2dvV3NlYm9heU5CbjluVXlvY3hkZEhTN2RZSVdzbEVBSXpmUWFWc0JoTVR3QkRYV195ZjdvVVBBTzFrQTItQdIBjAJBVV95cUxOWTIxTXNHR3ZOUEViTFFLdmQzSGRpTHVkdW9QenduZWVtMFZ2S09GTGNzNGpBbFpYUS1ObUczTHljR3VtOVg5Q3ZMQVhxSnd0TW1IT0VDS3pxNGF1ZVZPQ0U5eFRYRVV5T0l0OWxmYXluN3RTbDRqSFZjNUV6MzVkTmRJZVpZY05zaHJ2WGRGNEpacHFVR09tbi1PRnRpWlRzUFY3NTJlbkJ4SWZxZXNhUzg0c1lybnNQQWs3dG8tZHlicG9nYml0cmxQOFlSVGtKa05aSDItNTBXYlZRcFV2OTZqelhFMEctdTlPY0xRT1RvRWF1NHN3cmYwQXNmZWdxMGo5a1gwS0FmR3pr,Meta,news,Times of India,2025-12-23 02:20:00,"Meta CEO Mark Zuckerberg's 'highest-paid' employee is reportedly unhappy with his Boss, feels he ... - Times of India",0.0,https://news.google.com/rss/articles/CBMihwJBVV95cUxQSkx5MTZHY1RNMjQyVDNaMzZIdXF4a0c3SHQwa1dweDR3ZF9Ib0FUd2MyX2plMGdYdVdnOUlvM3VwSjl2Njg2UU1BdTlXdGFJSjRRam16bTF6VGozWGJZSmZISDhKaWxkSkoyWlFoZXJUWXVMMjkwN0E4SEpLMzFUeTdNcWtsUzJ5LTVrQ1VkUHhmUVVYRGEza0ZWLTlqNG9YY3dhMFpQVDlIMnlqVTloZVlwZ0RnZFhFMGdQWE9OLW9KeEkxRUtMc2dvV3NlYm9heU5CbjluVXlvY3hkZEhTN2RZSVdzbEVBSXpmUWFWc0JoTVR3QkRYV195ZjdvVVBBTzFrQTItQdIBjAJBVV95cUxOWTIxTXNHR3ZOUEViTFFLdmQzSGRpTHVkdW9QenduZWVtMFZ2S09GTGNzNGpBbFpYUS1ObUczTHljR3VtOVg5Q3ZMQVhxSnd0TW1IT0VDS3pxNGF1ZVZPQ0U5eFRYRVV5T0l0OWxmYXluN3RTbDRqSFZjNUV6MzVkTmRJZVpZY05zaHJ2WGRGNEpacHFVR09tbi1PRnRpWlRzUFY3NTJlbkJ4SWZxZXNhUzg0c1lybnNQQWs3dG8tZHlicG9nYml0cmxQOFlSVGtKa05aSDItNTBXYlZRcFV2OTZqelhFMEctdTlPY0xRT1RvRWF1NHN3cmYwQXNmZWdxMGo5a1gwS0FmR3pr?oc=5,
CBMigAFBVV95cUxNSkdlaDNWLV81QnAzTW9qVzd1V2JfQmFOS2dqRkdXdWpiT2FveThKSjdzank5WWlnbzdCRnQ2MGc2elRIaVJKcktIOEtJbW40UzRHYkNnTnFSZzdmcGxqUzAxbGc1Qm5PcU9NNFJWQkxGTkRlQmF6dlhDUzllTzJGQg,Meta,news,The New York Times,2025-12-04 08:00:00,Meta Weighs Cuts to Its Metaverse Unit - The New York Times,0.0,https://news.google.com/rss/articles/CBMigAFBVV95cUxNSkdlaDNWLV81QnAzTW9qVzd1V2JfQmFOS2dqRkdXdWpiT2FveThKSjdzank5WWlnbzdCRnQ2MGc2elRIaVJKcktIOEtJbW40UzRHYkNnTnFSZzdmcGxqUzAxbGc1Qm5PcU9NNFJWQkxGTkRlQmF6dlhDUzllTzJGQg?oc=5,
CBMimgFBVV95cUxQTXRKa1pNamNTNWh1QzM1dXUydnhlMnNuSXk0WXE5N2JQQU12bm1jbXRiR01LQmtuSFRqaWxaVzdSc3BvelJrRWl3a2NCRUh0T1VLekhmR1Exck12NTBfZXpqOXlUeFJqcjVLYmVRZXFmSXJ0cUNrYlpPVl9CeTh4cUJUcTN0QUhWR1lNdXA5aE1CSEZ5dWNKSnd3,Meta,news,TechCrunch,2025-12-04 08:00:00,Meta reportedly plans to slash Metaverse budget by up to 30% - TechCrunch,0.0,https://news.google.com/rss/articles/CBMimgFBVV95cUxQTXRKa1pNamNTNWh1QzM1dXUydnhlMnNuSXk0WXE5N2JQQU12bm1jbXRiR01LQmtuSFRqaWxaVzdSc3BvelJrRWl3a2NCRUh0T1VLekhmR1Exck12NTBfZXpqOXlUeFJqcjVLYmVRZXFmSXJ0cUNrYlpPVl9CeTh4cUJUcTN0QUhWR1lNdXA5aE1CSEZ5dWNKSnd3?oc=5,
CBMilAFBVV95cUxNdjVWd2MzTGp0ckloRGhXOUdiQUhUMkp1N0xiY3lyTlExWktVZ0IxcEVxbVVrdXZsaW1rOVlsYm5PLUItdkJLWTd6SExtTzRXWkRrQWdnakJsWlNhVkVTZG1lUmo0d3JZNDA5bVZxVHFUcTFxWFpQSnJLZU5mWjFLajNrS3hWbWxENE9VVEdzSWF1SnRR,Meta,news,Anadolu Ajansı,2025-10-23 07:00:00,Meta to lay off 600 workers in its AI unit: Report - Anadolu Ajansı,0.0,https://news.google.com/rss/articles/CBMilAFBVV95cUxNdjVWd2MzTGp0ckloRGhXOUdiQUhUMkp1N0xiY3lyTlExWktVZ0IxcEVxbVVrdXZsaW1rOVlsYm5PLUItdkJLWTd6SExtTzRXWkRrQWdnakJsWlNhVkVTZG1lUmo0d3JZNDA5bVZxVHFUcTFxWFpQSnJLZU5mWjFLajNrS3hWbWxENE9VVEdzSWF1SnRR?oc=5,
CBMiigFBVV95cUxPVlV3cTJxMmdtbWQ1OWp5U3VVRW4tRzBfREMtUHZZR0RMbUJ6M2pELWhHaXByV0NsTXE4VU8tdTg4T01nbnAxQVZ5aDBJUnAwdU5vZ1lQSTNxZC02d2VpN0hhaWZOanUyZ2QyZHprWGlSWkk1ODVPYjNWUjhDMmpnYmZ2a3p6Uy01OVE,Meta,news,Fortune,2025-12-05 08:00:00,Meta may unwind metaverse initiatives with layoffs - Fortune,0.0,https://news.google.com/rss/articles/CBMiigFBVV95cUxPVlV3cTJxMmdtbWQ1OWp5U3VVRW4tRzBfREMtUHZZR0RMbUJ6M2pELWhHaXByV0NsTXE4VU8tdTg4T01nbnAxQVZ5aDBJUnAwdU5vZ1lQSTNxZC02d2VpN0hhaWZOanUyZ2QyZHprWGlSWkk1ODVPYjNWUjhDMmpnYmZ2a3p6Uy01OVE?oc=5,
CBMiYEFVX3lxTE1LbmMzSGN3TlFTbmpTQlUxZ1VGeDNfWGlLaURKLTNidjBEUUt6Y1NuNl9VRUtWb2NWUFVVZjVJLWttaGZMdjRUMHJSWWw4WlNJS1NObDdwcmQ3VUVRNTF1cA,Meta,news,VT Markets,2025-10-24 07:00:00,Meta AI Layoffs and Market Impact - VT Markets,0.0,https://news.google.com/rss/articles/CBMiYEFVX3lxTE1LbmMzSGN3TlFTbmpTQlUxZ1VGeDNfWGlLaURKLTNidjBEUUt6Y1NuNl9VRUtWb2NWUFVVZjVJLWttaGZMdjRUMHJSWWw4WlNJS1NObDdwcmQ3VUVRNTF1cA?oc=5,
CBMiYkFVX3lxTFBHSHMzQzlGN3VJWUpPNERxaFRxakdKWmFVR0JHZHd1NzdrWHR5OGZ3ZklocHQtaThzSTE5TERMVUZVUUE1aTV2QVVFdGozZW5ZNGdxSGY3ZkZJNTlZaDZ5VnBR0gFnQVVfeXFMTjBWTERDYVlRcXE2aE9EdWlQamZiVjhfXzR2YzZtQlJaTmpzajBDSGZaaF9YdHV2aTdXUEM0VXJ0WGctQ0RkcWxkVFJOOU5QazBZRXlDY2RFR2VIeXZ6b2FDbEN0RHlZVQ,Meta,news,CNBC,2025-10-22 07:00:00,Meta lays off 600 from 'bloated' AI unit as Wang cements leadership - CNBC,0.0,https://news.google.com/rss/articles/CBMiYkFVX3lxTFBHSHMzQzlGN3VJWUpPNERxaFRxakdKWmFVR0JHZHd1NzdrWHR5OGZ3ZklocHQtaThzSTE5TERMVUZVUUE1aTV2QVVFdGozZW5ZNGdxSGY3ZkZJNTlZaDZ5VnBR0gFnQVVfeXFMTjBWTERDYVlRcXE2aE9EdWlQamZiVjhfXzR2YzZtQlJaTmpzajBDSGZaaF9YdHV2aTdXUEM0VXJ0WGctQ0RkcWxkVFJOOU5QazBZRXlDY2RFR2VIeXZ6b2FDbEN0RHlZVQ?oc=5,
CBMiqgFBVV95cUxPTmJpcVR5aUFENjM4SUFfZk95cTZlOTZaQ3p4N1BuRnlqak5QUmkxZ24wQ3pISDNIcFVsOHpXMFhJd0s1QWxRcGVSWVVISEx4YTN3VFdQVjR3UURFZTEzUDlaN1hxVVJGTGlWWUpnQkY0b2JGMEZCUDBFbHczb0tqVlVvcHVlb29IWmdNQU03TllXRHBHZlhZODlFSVZXd01IbS1MTlRpb1F2Zw,Meta,news,Forbes,2025-10-27 07:00:00,Meta Layoffs And The Cost Of A Frictionless AI Future - Forbes,0.0,https://news.google.com/rss/articles/CBMiqgFBVV95cUxPTmJpcVR5aUFENjM4SUFfZk95cTZlOTZaQ3p4N1BuRnlqak5QUmkxZ24wQ3pISDNIcFVsOHpXMFhJd0s1QWxRcGVSWVVISEx4YTN3VFdQVjR3UURFZTEzUDlaN1hxVVJGTGlWWUpnQkY0b2JGMEZCUDBFbHczb0tqVlVvcHVlb29IWmdNQU03TllXRHBHZlhZODlFSVZXd01IbS1MTlRpb1F2Zw?oc=5,
