company,source_type,text
Meta,wikipedia,"Meta Platforms, Inc.(DBAMeta) is an American multinational technology company headquartered inMenlo Park, California. Meta owns and operates several prominentsocial mediaplatforms and communication services, includingFacebook,Instagram,WhatsApp,MessengerandThreads. The company also operates anadvertising networkfor its own sites and third parties; as of 2023[update], advertising accounted for 97.8 percent of its total revenue.[9]Meta has been described as aBig Techcompany."
Meta,wikipedia,"The company was originally established in 2004 asTheFacebook, Inc.,[10]and was renamedFacebook, Inc.in 2005.[11]In 2021, it rebranded as Meta Platforms, Inc. to reflect a strategic shift toward developing themetaverse—an interconnected digital ecosystem spanningvirtualandaugmented realitytechnologies.[12][13][14][15]"
Meta,wikipedia,"In 2023, Meta was ranked 31st on theForbesGlobal 2000list of the world's largest public companies.[16]As of 2022, it was the world's third-largest spender onresearch and development, with R&D expenses totaling US$35.3 billion.[17]"
Meta,wikipedia,"Facebook filed for aninitial public offering(IPO) on January 1, 2012.[18]The preliminary prospectus stated that the company sought to raise $5 billion, had 845 million monthly active users, and a website accruing 2.7 billion likes and comments daily.[19]After the IPO,Zuckerbergwould retain 22% of the total shares and 57% of the total voting power in Facebook.[20]"
Meta,wikipedia,"Underwritersvalued the shares at $38 each, valuing the company at $104 billion, the largest valuation yet for a newly public company.[21]On May 16, one day before the IPO, Facebook announced it would sell 25% more shares than originally planned due to high demand.[22]The IPO raised $16 billion, making it the third-largest in US history (slightly ahead ofAT&T Mobilityand behind onlyGeneral MotorsandVisa). The stock price left the company with a highermarket capitalizationthan all but a few U.S. corporations—surpassing heavyweights such asAmazon,McDonald's,Disney, andKraft Foods—and made Zuckerberg's stock worth $19 billion.[23][24]The New York Timesstated that the offering overcame questions about Facebook's difficulties in attracting advertisers to transform the company into a ""must-own stock"".Jimmy LeeofJPMorgan Chasedescribed it as ""the next greatblue-chip"".[23]Writers atTechCrunch, on the other hand, expressed skepticism, stating, ""That's a big multiple to live up to, and Facebook will likely need to add bold new revenue streams to justify the mammoth valuation.""[25]"
Meta,wikipedia,"Trading in the stock, which began on May 18, was delayed that day due to technical problems with theNasdaqexchange.[26]The stock struggled to stay above the IPO price for most of the day, forcing underwriters to buy back shares to support the price.[27]At the closing bell, shares were valued at $38.23,[28]only $0.23 above the IPO price and down $3.82 from the opening bell value. The opening was widely described by the financial press as a disappointment.[29]The stock set a new record for trading volume of an IPO.[30]On May 25, 2012, the stock ended its first full week of trading at $31.91, a 16.5% decline.[31]"
Meta,wikipedia,"On May 22, 2012, regulators fromWall Street'sFinancial Industry Regulatory Authorityannounced that they had begun to investigate whether banks underwriting Facebook had improperly shared information only with select clients rather than the general public.MassachusettsSecretary of StateWilliam F. GalvinsubpoenaedMorgan Stanleyover the same issue.[32]The allegations sparked ""fury"" among some investors and led to the immediate filing of several lawsuits, one of them aclass actionsuit claiming more than $2.5 billion in losses due to the IPO.[33]Bloombergestimated thatretail investorsmay have lost approximately $630 million on Facebook stock since its debut.[34]S&P Global Ratingsadded Facebook to itsS&P 500index on December 21, 2013.[35]"
Meta,wikipedia,"On May 2, 2014, Zuckerberg announced that the company would be changing its internal motto from ""Move fast and break things"" to ""Move fast with stable infrastructure"".[36][37]The earlier motto had been described as Zuckerberg's ""prime directive to his developers and team"" in a 2009 interview inBusiness Insider, in which he also said, ""Unless you are breaking stuff, you are not moving fast enough.""[38]"
Meta,wikipedia,"In November 2016, Facebook announced theMicrosoft Windowsclient of gaming serviceFacebook Gameroom, formerlyFacebook Games Arcade, at theUnity Technologiesdevelopers conference.[39][40]The client allows Facebook users to play ""native"" games in addition to its web games. The service was closed in June 2021.[41]"
Meta,wikipedia,"Lassowas a short-video sharing app from Facebook similar toTikTokthat was launched oniOSandAndroidin 2018 and was aimed at teenagers. On July 2, 2020, Facebook announced that Lasso would be shutting down on July 10.[42][43][44]"
